Region 	 | # Voxels 	 | MD mean   	 | MD std   	 | FA mean  	 | FA std   	 | RD mean  	 | RD std   	 | TV mean  	 | TV std   	 | TC mean  	 | TC std   	 
    1 	 |     2677 	 | 0.0001359 	 | 0.000014 	 | 0.5300675 	 | 0.1151265 	 | 0.0000911 	 | 0.0000216 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    2 	 |      565 	 | 0.0001485 	 | 0.000010 	 | 0.4362956 	 | 0.0944734 	 | 0.0001104 	 | 0.0000161 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    3 	 |       77 	 | 0.0001490 	 | 0.000005 	 | 0.5160401 	 | 0.0474591 	 | 0.0001017 	 | 0.0000076 	 | 0.0000010 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    4 	 |      527 	 | 0.0001217 	 | 0.000008 	 | 0.5273072 	 | 0.0681043 	 | 0.0000811 	 | 0.0000105 	 | 0.0000008 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
    5 	 |       40 	 | 0.0001748 	 | 0.000007 	 | 0.5377392 	 | 0.0849570 	 | 0.0001145 	 | 0.0000133 	 | 0.0000016 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
    6 	 |     1384 	 | 0.0001541 	 | 0.000008 	 | 0.4500555 	 | 0.0904523 	 | 0.0001127 	 | 0.0000128 	 | 0.0000010 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    7 	 |       28 	 | 0.0001397 	 | 0.000006 	 | 0.6002184 	 | 0.0778611 	 | 0.0000850 	 | 0.0000131 	 | 0.0000010 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    8 	 |       37 	 | 0.0001583 	 | 0.000007 	 | 0.4390599 	 | 0.0897979 	 | 0.0001181 	 | 0.0000155 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
