Region 	 | # Voxels 	 | MD mean   	 | MD std   	 | FA mean  	 | FA std   	 | RD mean  	 | RD std   	 | TV mean  	 | TV std   	 | TC mean  	 | TC std   	 
    1 	 |     2659 	 | 0.0001348 	 | 0.000014 	 | 0.5343200 	 | 0.1230106 	 | 0.0000896 	 | 0.0000218 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    2 	 |     1319 	 | 0.0001339 	 | 0.000015 	 | 0.4776924 	 | 0.1014302 	 | 0.0000951 	 | 0.0000198 	 | 0.0000008 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    3 	 |       30 	 | 0.0001345 	 | 0.000007 	 | 0.6204130 	 | 0.0841283 	 | 0.0000786 	 | 0.0000141 	 | 0.0000011 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
    4 	 |       47 	 | 0.0001351 	 | 0.000012 	 | 0.5688775 	 | 0.1152954 	 | 0.0000852 	 | 0.0000205 	 | 0.0000011 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
    5 	 |       67 	 | 0.0001336 	 | 0.000011 	 | 0.5583229 	 | 0.1134448 	 | 0.0000853 	 | 0.0000189 	 | 0.0000010 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
    6 	 |       36 	 | 0.0001318 	 | 0.000009 	 | 0.6040964 	 | 0.0966832 	 | 0.0000790 	 | 0.0000155 	 | 0.0000011 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
    7 	 |       42 	 | 0.0001330 	 | 0.000008 	 | 0.5085312 	 | 0.0829789 	 | 0.0000907 	 | 0.0000133 	 | 0.0000008 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
    8 	 |      250 	 | 0.0001513 	 | 0.000007 	 | 0.3790713 	 | 0.0644477 	 | 0.0001189 	 | 0.0000119 	 | 0.0000008 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
    9 	 |      129 	 | 0.0001520 	 | 0.000008 	 | 0.4155498 	 | 0.0747560 	 | 0.0001152 	 | 0.0000133 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   10 	 |       73 	 | 0.0001541 	 | 0.000002 	 | 0.4550268 	 | 0.0460555 	 | 0.0001121 	 | 0.0000056 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
   11 	 |       67 	 | 0.0001578 	 | 0.000005 	 | 0.4145126 	 | 0.0560662 	 | 0.0001199 	 | 0.0000088 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   12 	 |       28 	 | 0.0001512 	 | 0.000004 	 | 0.4363294 	 | 0.0575240 	 | 0.0001120 	 | 0.0000090 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
   13 	 |       31 	 | 0.0001545 	 | 0.000005 	 | 0.4081991 	 | 0.0420141 	 | 0.0001174 	 | 0.0000057 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   14 	 |       49 	 | 0.0001591 	 | 0.000004 	 | 0.3694510 	 | 0.0628316 	 | 0.0001264 	 | 0.0000090 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
