Region 	 | # Voxels 	 | MD mean   	 | MD std   	 | FA mean  	 | FA std   	 | RD mean  	 | RD std   	 | TV mean  	 | TV std   	 | TC mean  	 | TC std   	 
    1 	 |       86 	 | 0.0001630 	 | 0.000009 	 | 0.4301665 	 | 0.0890158 	 | 0.0001226 	 | 0.0000171 	 | 0.0000010 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    2 	 |    22156 	 | 0.0001509 	 | 0.000014 	 | 0.4165246 	 | 0.0958853 	 | 0.0001148 	 | 0.0000161 	 | 0.0000008 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
    3 	 |      419 	 | 0.0001594 	 | 0.000010 	 | 0.4253160 	 | 0.0735537 	 | 0.0001211 	 | 0.0000144 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    4 	 |       56 	 | 0.0001367 	 | 0.000009 	 | 0.3368751 	 | 0.0587125 	 | 0.0001106 	 | 0.0000110 	 | 0.0000006 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
    5 	 |      186 	 | 0.0001577 	 | 0.000005 	 | 0.5163085 	 | 0.0868305 	 | 0.0001074 	 | 0.0000143 	 | 0.0000012 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
    6 	 |     1058 	 | 0.0001361 	 | 0.000010 	 | 0.3964232 	 | 0.0925920 	 | 0.0001052 	 | 0.0000149 	 | 0.0000007 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    7 	 |       44 	 | 0.0001678 	 | 0.000006 	 | 0.4478650 	 | 0.0795918 	 | 0.0001224 	 | 0.0000123 	 | 0.0000012 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
    8 	 |       55 	 | 0.0001209 	 | 0.000006 	 | 0.3440063 	 | 0.0559111 	 | 0.0001025 	 | 0.0000076 	 | 0.0000004 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
    9 	 |       86 	 | 0.0001764 	 | 0.000009 	 | 0.4747591 	 | 0.0819802 	 | 0.0001258 	 | 0.0000157 	 | 0.0000013 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
   10 	 |       58 	 | 0.0001702 	 | 0.000005 	 | 0.4867753 	 | 0.0696743 	 | 0.0001198 	 | 0.0000119 	 | 0.0000013 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
   11 	 |    21825 	 | 0.0001512 	 | 0.000016 	 | 0.4381229 	 | 0.1031880 	 | 0.0001128 	 | 0.0000189 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
   12 	 |       89 	 | 0.0001661 	 | 0.000005 	 | 0.5273589 	 | 0.0725782 	 | 0.0001117 	 | 0.0000118 	 | 0.0000013 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
   13 	 |       32 	 | 0.0001707 	 | 0.000006 	 | 0.3614139 	 | 0.0631985 	 | 0.0001375 	 | 0.0000101 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   14 	 |       50 	 | 0.0001725 	 | 0.000010 	 | 0.4345363 	 | 0.0826299 	 | 0.0001300 	 | 0.0000156 	 | 0.0000011 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
   15 	 |       29 	 | 0.0001173 	 | 0.000007 	 | 0.4208761 	 | 0.0705123 	 | 0.0000886 	 | 0.0000103 	 | 0.0000005 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
   16 	 |       28 	 | 0.0001595 	 | 0.000008 	 | 0.3799246 	 | 0.0721596 	 | 0.0001268 	 | 0.0000136 	 | 0.0000008 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   17 	 |       55 	 | 0.0001206 	 | 0.000006 	 | 0.3659695 	 | 0.0864898 	 | 0.0000948 	 | 0.0000108 	 | 0.0000005 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
   18 	 |       37 	 | 0.0001175 	 | 0.000005 	 | 0.3344520 	 | 0.0603848 	 | 0.0000969 	 | 0.0000069 	 | 0.0000004 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
   19 	 |       55 	 | 0.0001125 	 | 0.000009 	 | 0.3035864 	 | 0.0623803 	 | 0.0000940 	 | 0.0000096 	 | 0.0000004 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
   20 	 |       31 	 | 0.0001171 	 | 0.000005 	 | 0.3418105 	 | 0.0507196 	 | 0.0000967 	 | 0.0000066 	 | 0.0000004 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
   21 	 |       33 	 | 0.0001631 	 | 0.000017 	 | 0.3620822 	 | 0.0764436 	 | 0.0001283 	 | 0.0000187 	 | 0.0000010 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   22 	 |       45 	 | 0.0001353 	 | 0.000007 	 | 0.5481862 	 | 0.0801191 	 | 0.0000880 	 | 0.0000123 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
   23 	 |       92 	 | 0.0001117 	 | 0.000005 	 | 0.3315434 	 | 0.0653219 	 | 0.0000910 	 | 0.0000077 	 | 0.0000004 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
   24 	 |       37 	 | 0.0001190 	 | 0.000007 	 | 0.3273606 	 | 0.0687383 	 | 0.0000975 	 | 0.0000087 	 | 0.0000005 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
   25 	 |       88 	 | 0.0001185 	 | 0.000008 	 | 0.3574011 	 | 0.0665870 	 | 0.0000940 	 | 0.0000088 	 | 0.0000005 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
   26 	 |       40 	 | 0.0001074 	 | 0.000008 	 | 0.2892424 	 | 0.0527413 	 | 0.0000901 	 | 0.0000071 	 | 0.0000004 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
   27 	 |       83 	 | 0.0001143 	 | 0.000006 	 | 0.3965798 	 | 0.0725265 	 | 0.0000883 	 | 0.0000093 	 | 0.0000005 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
   28 	 |      149 	 | 0.0001759 	 | 0.000015 	 | 0.4328383 	 | 0.0943936 	 | 0.0001333 	 | 0.0000222 	 | 0.0000011 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
   29 	 |       71 	 | 0.0001669 	 | 0.000008 	 | 0.4677041 	 | 0.0493770 	 | 0.0001232 	 | 0.0000103 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
   30 	 |       29 	 | 0.0001221 	 | 0.000005 	 | 0.3742562 	 | 0.0637456 	 | 0.0000980 	 | 0.0000077 	 | 0.0000005 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
   31 	 |      870 	 | 0.0001330 	 | 0.000010 	 | 0.4254924 	 | 0.0931675 	 | 0.0000997 	 | 0.0000145 	 | 0.0000007 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   32 	 |      418 	 | 0.0001734 	 | 0.000008 	 | 0.5002183 	 | 0.0880064 	 | 0.0001206 	 | 0.0000159 	 | 0.0000013 	 | 0.0000000 	 | 0.0000000 	 | 0.0000004 	 
   33 	 |       29 	 | 0.0001724 	 | 0.000016 	 | 0.3815099 	 | 0.0677050 	 | 0.0001384 	 | 0.0000166 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
   34 	 |       27 	 | 0.0001882 	 | 0.000019 	 | 0.3255597 	 | 0.0579158 	 | 0.0001574 	 | 0.0000222 	 | 0.0000010 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   35 	 |       37 	 | 0.0001712 	 | 0.000014 	 | 0.4416607 	 | 0.0749279 	 | 0.0001272 	 | 0.0000193 	 | 0.0000011 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   36 	 |      503 	 | 0.0001630 	 | 0.000010 	 | 0.4323870 	 | 0.0745574 	 | 0.0001232 	 | 0.0000148 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
   37 	 |       38 	 | 0.0001488 	 | 0.000006 	 | 0.4924367 	 | 0.0549380 	 | 0.0001036 	 | 0.0000094 	 | 0.0000010 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   38 	 |       30 	 | 0.0001554 	 | 0.000004 	 | 0.4166885 	 | 0.0678857 	 | 0.0001168 	 | 0.0000091 	 | 0.0000010 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   39 	 |       45 	 | 0.0001506 	 | 0.000008 	 | 0.3972132 	 | 0.0856552 	 | 0.0001172 	 | 0.0000154 	 | 0.0000008 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   40 	 |       29 	 | 0.0001604 	 | 0.000007 	 | 0.4139121 	 | 0.0561005 	 | 0.0001236 	 | 0.0000117 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   41 	 |       80 	 | 0.0001650 	 | 0.000009 	 | 0.3770932 	 | 0.0646507 	 | 0.0001309 	 | 0.0000139 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   42 	 |       47 	 | 0.0001509 	 | 0.000007 	 | 0.3212062 	 | 0.0424978 	 | 0.0001246 	 | 0.0000083 	 | 0.0000007 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
