Region 	 | # Voxels 	 | MD mean   	 | MD std   	 | FA mean  	 | FA std   	 | RD mean  	 | RD std   	 | TV mean  	 | TV std   	 | TC mean  	 | TC std   	 
   28 	 |      117 	 | 0.0001751 	 | 0.000011 	 | 0.4795355 	 | 0.0869048 	 | 0.0001239 	 | 0.0000180 	 | 0.0000013 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
   29 	 |       64 	 | 0.0001864 	 | 0.000014 	 | 0.3793058 	 | 0.0982925 	 | 0.0001461 	 | 0.0000220 	 | 0.0000012 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   30 	 |       47 	 | 0.0001694 	 | 0.000013 	 | 0.4344541 	 | 0.0849118 	 | 0.0001298 	 | 0.0000194 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   31 	 |       45 	 | 0.0001711 	 | 0.000009 	 | 0.4900560 	 | 0.0701887 	 | 0.0001202 	 | 0.0000141 	 | 0.0000012 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
   32 	 |      529 	 | 0.0001667 	 | 0.000010 	 | 0.4111356 	 | 0.0771995 	 | 0.0001293 	 | 0.0000158 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   33 	 |       41 	 | 0.0001489 	 | 0.000008 	 | 0.3667936 	 | 0.0940272 	 | 0.0001171 	 | 0.0000154 	 | 0.0000008 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
   34 	 |       64 	 | 0.0001373 	 | 0.000010 	 | 0.4020177 	 | 0.0909345 	 | 0.0001059 	 | 0.0000150 	 | 0.0000007 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
   35 	 |       48 	 | 0.0001731 	 | 0.000016 	 | 0.4247155 	 | 0.0873807 	 | 0.0001308 	 | 0.0000212 	 | 0.0000011 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
   36 	 |       99 	 | 0.0001716 	 | 0.000011 	 | 0.4993361 	 | 0.0729751 	 | 0.0001224 	 | 0.0000182 	 | 0.0000010 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   37 	 |       71 	 | 0.0001753 	 | 0.000015 	 | 0.4486839 	 | 0.1126263 	 | 0.0001317 	 | 0.0000250 	 | 0.0000010 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   38 	 |       30 	 | 0.0001743 	 | 0.000010 	 | 0.5103262 	 | 0.1122958 	 | 0.0001195 	 | 0.0000216 	 | 0.0000013 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   39 	 |       63 	 | 0.0001692 	 | 0.000013 	 | 0.4140493 	 | 0.0778481 	 | 0.0001314 	 | 0.0000188 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   40 	 |       31 	 | 0.0001689 	 | 0.000021 	 | 0.4500690 	 | 0.1277735 	 | 0.0001250 	 | 0.0000305 	 | 0.0000011 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   41 	 |       50 	 | 0.0001530 	 | 0.000013 	 | 0.4194966 	 | 0.0943566 	 | 0.0001177 	 | 0.0000196 	 | 0.0000008 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
